numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance,,numero do experimento,File name,algorithm,Time spent,Memory used,Total distance
1,rat195,nn,126.05,1.0,2628.56,,2,rat195,nn,44.65,0.32,2628.56,,3,rat195,nn,42.44,0.11,2628.56
1,rat195,ts,5.31,0.22,4025.17,,2,rat195,ts,1.91,0.11,4029.28,,3,rat195,ts,1.78,0.0,3968.81
1,rat195,ga,76.22,0.19,20734.05,,2,rat195,ga,26.37,0.71,21098.9,,3,rat195,ga,30.25,1.46,20828.37
1,rat195,sa,3.78,0.02,11715.24,,2,rat195,sa,1.44,0.14,12040.3,,3,rat195,sa,1.56,0.0,11868.8
1,rat195,ac,630.82,7.14,12377.89,,2,rat195,ac,248.74,6.69,12550.61,,3,rat195,ac,223.37,1.66,12366.67
1,d198,nn,83.93,3.13,17695.84,,2,d198,nn,22.22,0.61,17695.84,,3,d198,nn,22.93,0.59,17695.84
1,d198,ts,4.5,0.22,22349.25,,2,d198,ts,1.79,0.11,22583.1,,3,d198,ts,1.29,0.09,22686.39
1,d198,ga,70.24,0.07,178823.91,,2,d198,ga,21.83,6.39,175946.29,,3,d198,ga,19.59,0.66,175514.5
1,d198,sa,3.82,0.02,97052.99,,2,d198,sa,1.32,0.23,101701.86,,3,d198,sa,01.01,0.01,91598.07
1,d198,ac,354.17,8.45,67846.92,,2,d198,ac,210.19,5.14,66286.92,,3,d198,ac,219.72,8.61,66406.67
1,a280,nn,79.45,1.1,3094.28,,2,a280,nn,84.72,1.48,3113.11,,3,a280,nn,84.16,0.57,3094.28
1,a280,ts,02.07,0.22,2818.62,,2,a280,ts,2.36,0.23,2818.62,,3,a280,ts,02.09,0.08,2818.62
1,a280,ga,42.55,0.7,32351.55,,2,a280,ga,45.29,05.04,31904.0,,3,a280,ga,43.08,0.72,33018.78
1,a280,sa,1.51,0.02,20302.57,,2,a280,sa,1.63,0.14,19134.45,,3,a280,sa,1.47,0.01,18773.48
1,a280,ac,631.44,10.21,18674.32,,2,a280,ac,354.21,4.43,18393.78,,3,a280,ac,360.62,03.05,18754.41
1,rd400,nn,92.11,0.66,18303.3,,2,rd400,nn,99.87,8.65,18303.3,,3,rd400,nn,91.41,1.38,18303.3
1,rd400,ts,02.02,0.2,137276.57,,2,rd400,ts,2.4,01.02,139274.77,,3,rd400,ts,1.99,0.23,136997.05
1,rd400,ga,65.13,1.38,199368.99,,2,rd400,ga,69.21,1.54,202639.45,,3,rd400,ga,64.83,0.99,197730.69
1,rd400,sa,1.58,0.16,142674.62,,2,rd400,sa,1.6,0.15,130350.22,,3,rd400,sa,1.48,0.14,136492.34
1,rd400,ac,790.26,6.26,124506.25,,2,rd400,ac,609.22,4.88,122858.37,,3,rd400,ac,620.68,5.7,125548.14
1,pcb442,nn,107.22,32.54,58952.97,,2,pcb442,nn,108.01,34.25,58952.97,,3,pcb442,nn,109.38,18.52,58952.97
1,pcb442,ts,02.07,0.58,203147.75,,2,pcb442,ts,2.25,0.88,214015.56,,3,pcb442,ts,2.14,0.29,213188.63
1,pcb442,ga,75.96,1.28,725491.21,,2,pcb442,ga,78.68,15.73,721727.5,,3,pcb442,ga,77.75,28.11,730749.05
1,pcb442,sa,1.5,0.02,515970.79,,2,pcb442,sa,1.6,0.14,505713.11,,3,pcb442,sa,1.48,4.41,492530.9
1,pcb442,ac,1066.27,23.2,459299.79,,2,pcb442,ac,680.3,8.17,455870.96,,3,pcb442,ac,676.8,8.25,460556.56